Team,,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,,,
Atlanta Hawks,ATL,31.5,8,-,15,17.5,21,36,21.5,,
Boston Celtics,BOS,6.5,13.5,-,23.5,16.5,29.5,33.5,20.5,,
Brooklyn Nets,BKN,23,14,-,26.5,25.5,21.5,31,23.6,,
Charlotte Hornets,CHA,23.5,25.5,-,27,30,22.5,35,27.3,,
Chicago Bulls,CHI,16,20,21,14.5,19.5,20,26,19.6,,http://stats.nba.com/player/#!/201939/stats/?Season=2015-16&SeasonType=Regular%20Season&OpponentTeamID=1610612753
Cleveland Cavaliers,CLE,17.5,19,-,21,28,20.5,27,22.2,,
Dallas Mavericks,DAL,16.5,13.5,10,24.5,23.8,28.3,26,20.4,,
Denver Nuggets,DEN,20.3,19,15,18.5,20.7,15,24,18.9,,
Detroit Pistons,DET,23,6,-,26.5,22,12.5,30,20,,
Golden State Warriors,,-,-,-,-,-,-,-,,,
Houston Rockets,HOU,13,20.7,14,21.8,22.3,25.8,30,21.1,,
Indiana Pacers,IND,6.5,15.5,12,29,21.5,21,34,19.9,,
Los Angeles Clippers,LAC,22,19.8,5,23,22,20.3,31.8,20.6,,
Los Angeles Lakers,LAL,17,16,-,27.5,19.3,25.5,21.3,21.1,,
Memphis Grizzlies,MEM,15,16,23,27.3,25.7,24,30.3,23,,
Miami Heat,MIA,13.5,15,-,9,32.5,36,36.5,23.8,,
Milwaukee Bucks,MIL,16,11.5,-,21,23,22,27,20.1,,
Minnesota Timberwolves,MIN,17,25.7,-,19.8,23.3,26.3,28.7,23.5,,
New Orleans Pelicans,NOP,14.7,18.3,-,20.8,24,23.5,40,23.6,,
New York Knicks,NYK,7.5,27,-,40,29.5,23.5,23.5,25.2,,
Oklahoma City Thunder,OKC,21,32.3,14,22.3,30.3,21.8,35,25.2,,
Orlando Magic,ORL,11,18.5,-,25,16,25,46,23.6,,
Philadelphia 76ers,PHI,15.5,19.5,21,20.5,20.5,16.5,21.5,19.3,,
Phoenix Suns,PHX,16,16.7,9.3,18,22.5,29.3,31.8,20.5,,
Portland Trail Blazers,POR,19.5,14.3,20,25.3,36,33,32.5,25.8,,
Sacramento Kings,SAC,18,26.7,7,18.5,21,17.3,26,19.2,,
San Antonio Spurs,SAS,9.5,13.5,20,26,20.3,21.7,28.8,20,,
Toronto Raptors,TOR,32,28.5,-,21.5,30.5,27,40.5,30,,
Utah Jazz,UTA,15,17,29,24.7,28,22.8,21.3,22.5,,
Washington Wizards,WAS,27,19.5,12,28.5,18.5,28,38.5,24.6,,
,,,,,,,,,,,
Description,,,,,,,,,,,
"This data set gives Curry's points per game vs. each team in the NBA for every season he has played, as well as the final average points per game vs each team.",,,,,,,,,,,
